0.69569,-0.51761
0.68765,-0.51367
0.67964,-0.50971
0.67166,-0.50574
0.66372,-0.50176
0.65581,-0.49777
0.64794,-0.49377
0.64009,-0.48976
0.63229,-0.48573
0.62451,-0.4817
0.61677,-0.47765
0.60906,-0.47359
0.60139,-0.46952
0.59375,-0.46544
0.58614,-0.46135
0.57857,-0.45725
0.57103,-0.45313
0.56352,-0.44901
0.55605,-0.44487
0.54861,-0.44073
0.54121,-0.43657
0.53384,-0.4324
0.5265,-0.42822
0.5192,-0.42403
0.51193,-0.41982
0.50469,-0.41561
0.49749,-0.41138
0.49032,-0.40715
0.48319,-0.4029
0.47609,-0.39864
0.46902,-0.39437
0.46199,-0.39009
0.45499,-0.3858
0.44803,-0.3815
0.44109,-0.37719
0.4342,-0.37286
0.42734,-0.36853
0.42051,-0.36418
0.41371,-0.35983
0.40695,-0.35546
0.40023,-0.35108
0.39353,-0.34669
0.38688,-0.34229
0.38025,-0.33788
0.37366,-0.33346
0.36711,-0.32902
0.36058,-0.32458
0.3541,-0.32012
0.34764,-0.31566
0.34122,-0.31118
0.33484,-0.30669
0.32849,-0.30219
0.32217,-0.29769
0.31589,-0.29317
0.30964,-0.28864
0.30343,-0.28409
0.29725,-0.27954
0.2911,-0.27498
0.28499,-0.2704
0.27892,-0.26582
0.27287,-0.26123
0.26687,-0.25662
0.26089,-0.252
0.25495,-0.24738
0.24905,-0.24274
0.24318,-0.23809
0.23734,-0.23343
0.23154,-0.22876
0.22578,-0.22408
0.22004,-0.21939
0.21435,-0.21469
0.20868,-0.20997
0.20305,-0.20525
0.19746,-0.20052
0.1919,-0.19577
0.18637,-0.19102
0.18088,-0.18625
0.17543,-0.18147
0.17,-0.17669
0.16462,-0.17189
0.15926,-0.16708
0.15395,-0.16227
0.14866,-0.15744
0.14341,-0.1526
0.1382,-0.14775
0.13302,-0.14289
0.12788,-0.13802
0.12276,-0.13314
0.11769,-0.12824
0.11265,-0.12334
0.10764,-0.11843
0.10267,-0.11351
0.097734,-0.10857
0.092833,-0.10363
0.087965,-0.098677
0.083133,-0.093713
0.078335,-0.088738
0.073572,-0.083753
0.068844,-0.078758
0.064151,-0.073753
0.059492,-0.068737
0.054869,-0.06371
0.05028,-0.058674
0.045726,-0.053627
0.041207,-0.04857
0.036723,-0.043503
0.032273,-0.038425
0.027859,-0.033338
0.023479,-0.02824
0.019134,-0.023131
0.014824,-0.018013
0.010549,-0.012884
0.0063095,-0.0077457
0.0021044,-0.0025968
-0.0020657,0.0025623
-0.0062009,0.0077315
-0.010301,0.012911
-0.014366,0.0181
-0.018397,0.0233
-0.022392,0.02851
-0.026352,0.033729
-0.030277,0.038959
-0.034168,0.044199
-0.038023,0.049449
-0.041843,0.054709
-0.045628,0.059979
-0.049378,0.065259
-0.053093,0.070549
-0.056773,0.075849
-0.060418,0.081159
-0.064028,0.086479
-0.067603,0.091809
-0.071142,0.097149
-0.074647,0.1025
-0.078116,0.10786
-0.08155,0.11323
-0.08495,0.11861
-0.088314,0.124
-0.091642,0.1294
-0.094936,0.13481
-0.098195,0.14023
-0.10142,0.14565
-0.10461,0.15109
-0.10776,0.15654
-0.11088,0.162
-0.11396,0.16747
-0.11701,0.17295
-0.12002,0.17843
-0.123,0.18393
-0.12594,0.18944
-0.12885,0.19496
-0.13172,0.20048
-0.13455,0.20602
-0.13735,0.21156
-0.14012,0.21712
-0.14285,0.22269
-0.14554,0.22826
-0.1482,0.23385
-0.15083,0.23944
-0.15342,0.24504
-0.15597,0.25066
-0.15849,0.25628
-0.16098,0.26191
-0.16342,0.26756
-0.16584,0.27321
-0.16821,0.27887
-0.17056,0.28454
-0.17286,0.29022
-0.17513,0.29591
-0.17737,0.30161
