 ElementName  ElementType      L          s         K1         K2       Angle  
                               m          m        1/m2       1/m3       rad   
-------------------------------------------------------------------------------
 _BEG_        MARK          0        0           0         0          0        
 DH05G1C30A   DRIF          4.29379  4.29379     0         0          0        
 FH2G1C30A    FTRIM         0.044    4.33779     0         0          0        
 DH1G1A       DRIF          0.31221  4.65        0         0          0        
 GEG1C30A     MARK          0        4.65        0         0          0        
 GSG2C30A     MARK          0        4.65        0         0          0        
 SH1G2C30A    SEXT          0.2      4.85        0         24.1977    0        
 DH1AG2A      DRIF          0.085    4.935       0         0          0        
 PH1G2C30A    BPM           0        4.935       0         0          0        
 DBPM01       DRIF          0.0775   5.0125      0         0          0        
 QH1G2C30A    QUAD          0.275    5.2875      -0.633004  0          0        
 DH2AG2A      DRIF          0.145    5.4325      0         0          0        
 SQHHG2C30A   QUAD          0.1      5.5325      0         0          0        
 CH1G2C30A    SQ_TRIM       0        5.5325      0         0          0        
 SQHHG2C30A   QUAD          0.1      5.6325      0         0          0        
 DH2BG2A      DRIF          0.4595   6.092       0         0          0        
 QH2G2C30A    QUAD          0.448    6.54        1.47765   0          0        
 DH3AG2A      DRIF          0.19     6.73        0         0          0        
 SH3G2C30A    SEXT          0.2      6.93        0         -4.1557    0        
 DH3BG2A      DRIF          0.1825   7.1125      0         0          0        
 QH3G2C30A    QUAD          0.275    7.3875      -1.70755  0          0        
 DH4AG2A      DRIF          0.07252  7.46002     0         0          0        
 PH2G2C30A    BPM           0        7.46002     0         0          0        
 DBPM02       DRIF          0.08998  7.55        0         0          0        
 SH4G2C30A    SEXT          0.2      7.75        0         -20.4869   0        
 DH4BG2A      DRIF          0.2485   7.9985      0         0          0        
 CH2G2C30A    TRIMD         0.3      8.2985      0         0          0        
 GEG2C30A     MARK          0        8.2985      0         0          0        
 DH4CG3A      DRIF          0.0315   8.33        0         0          0        
 GSG3C30A     MARK          0        8.33        0         0          0        
 B1G3C30A     DIPOLE        2.62     10.95       0         0          0.10472  
 GEG3C30A     MARK          0        10.95       0         0          0        
 GSG4C30A     MARK          0        10.95       0         0          0        
 DM1AG4A      DRIF          0.501    11.451      0         0          0        
 CM1G4C30A    TRIMD         0.2      11.651      0         0          0        
 DM1BG4A      DRIF          0.274    11.925      0         0          0        
 QM1G4C30A    QUAD          0.25     12.175      -0.803148  0          0        
 DM2AG4A      DRIF          0.2      12.375      0         0          0        
 SM1G4C30A    SEXT          0.2      12.575      0         -24.131    0        
 DFT1         DRIF          0.2332   12.8082     0         0          0        
 FM1G4C30A    FTRIM         0.044    12.8522     0         0          0        
 DM2BG4A      DRIF          0.2924   13.1446     0         0          0        
 PM1G4C30A    BPM           0        13.1446     0         0          0        
 DBPM03       DRIF          0.0839   13.2285     0         0          0        
 QM2G4C30A    QUAD          0.283    13.5115     1.2223    0          0        
 DM2CG4A      DRIF          0.1835   13.695      0         0          0        
 SM2G4C30B    SEXT          0.25     13.945      0         28.7157    0        
 DM2CG4B      DRIF          0.1835   14.1285     0         0          0        
 QM2G4C30B    QUAD          0.283    14.4115     1.2223    0          0        
 DM2BG4B      DRIF          0.5035   14.915      0         0          0        
 SM1G4C30B    SEXT          0.2      15.115      0         -26.0949   0        
 DM2AG4B      DRIF          0.26226  15.3773     0         0          0        
 PM1G4C30B    BPM           0        15.3773     0         0          0        
 DBPM04       DRIF          0.08774  15.465      0         0          0        
 QM1G4C30B    QUAD          0.25     15.715      -0.803148  0          0        
 DM1EG4B      DRIF          0.109    15.824      0         0          0        
 CM1G4C30B    TRIMD         0.3      16.124      0         0          0        
 GEG4C30B     MARK          0        16.124      0         0          0        
 GSG5C30B     MARK          0        16.124      0         0          0        
 DM1DG5B1     DRIF          0.1      16.224      0         0          0        
 DPWG5B       DRIF          0.2      16.424      0         0          0        
 DM1CG5B1     DRIF          0.266    16.69       0         0          0        
 B1G5C30B     DIPOLE        2.62     19.31       0         0          0.10472  
 GEG5C30B     MARK          0        19.31       0         0          0        
 DL4BG6B      DRIF          0.2178   19.5278     0         0          0        
 GSG6C30B     MARK          0        19.5278     0         0          0        
 DL4AG6B      DRIF          0.3697   19.8975     0         0          0        
 QL3G6C30B    QUAD          0.275    20.1725     -1.48928  0          0        
 DBPM05       DRIF          0.07472  20.2472     0         0          0        
 PL2G6C30B    BPM           0        20.2472     0         0          0        
 DL3CG6B      DRIF          0.08778  20.335      0         0          0        
 SL3G6C30B    SEXT          0.2      20.535      0         -28.2618   0        
 DL3BG6B      DRIF          0.1575   20.6925     0         0          0        
 CL2G6C30B    TRIMD         0.2      20.8925     0         0          0        
