Element-Name    E_S(Meter)       Beta(X)       Beta(Y)      Alpha(X)      Alpha(Y)      Gamma(X)      Gamma(Y)      Phase(X)      Phase(Y) 
       R1SF2            12       5.71067       4.12897      -2.02005       1.08044       0.88967      0.524916      0.738856      0.474182 
       RXD18         12.14       6.29373       3.83673      -2.14461       1.00696       0.88967      0.524916      0.742573      0.479781 
       R1QF5         12.49       5.66536       4.49259       3.73162      -3.08863       2.63443         2.346      0.751386       0.49399 
       RXD19         12.93       2.89156       7.66477       2.57247      -4.12087       2.63443         2.346      0.768722      0.505935 
      R1BPM6         12.93       2.89156       7.66477       2.57247      -4.12087       2.63443         2.346      0.768722      0.505935 
       RXD20         13.03       2.40341       8.51241       2.30903      -4.35547       2.63443         2.346      0.774761      0.507906 
       R1SD2         13.15       1.88718        9.5915        1.9929      -4.63699       2.63443         2.346      0.783734      0.510019 
       RXD21         13.51      0.793714       13.2342        1.0445      -5.48156       2.63443         2.346      0.831251      0.515106 
       RXDMX         14.73       2.30665       17.3994      -2.53161       2.92314       3.21204      0.548569       1.12238      0.526778 
       RXD22        15.165       5.11695       14.9601      -3.92885       2.68451       3.21204      0.548569       1.14259       0.53107 
       R1QD6        15.405       7.62948       12.7759      -6.77358       6.21127       6.14477       3.09801       1.14877      0.533802 
      R1D23A         15.55       9.72301       11.0398      -7.66457       5.76206       6.14477       3.09801       1.15145      0.535746 
      R1HC2A         15.55       9.72301       11.0398      -7.66457       5.76206       6.14477       3.09801       1.15145      0.535746 
      R1VC3A         15.55       9.72301       11.0398      -7.66457       5.76206       6.14477       3.09801       1.15145      0.535746 
      R1D23B         15.64       11.1524       10.0277       -8.2176       5.48324       6.14477       3.09801       1.15283      0.537107 
      R1BPM7         15.64       11.1524       10.0277       -8.2176       5.48324       6.14477       3.09801       1.15283      0.537107 
       RXD24            16       17.8654       6.48126      -10.4297       4.36795       6.14477       3.09801       1.15689      0.544216 
       R1QF7         16.35       18.5784       5.66631       8.64051      -1.76951        4.0724      0.729074       1.15976       0.55397 
       RXD25         16.49       16.2388       6.17607       8.07038      -1.87158        4.0724      0.729074       1.16105      0.557737 
       R1HC2         16.49       16.2388       6.17607       8.07038      -1.87158        4.0724      0.729074       1.16105      0.557737 
       RXD26         16.65       13.7606       6.79364       7.41879      -1.98823        4.0724      0.729074       1.16275      0.561668 
       R1QD8            17       11.2145       6.87999      0.313486       1.75743     0.0979331      0.594266       1.16738      0.569562 
      R1D27A         17.09       11.1589       6.56847      0.304672       1.70394     0.0979331      0.594266       1.16866      0.571693 
      R1BPM8         17.09       11.1589       6.56847      0.304672       1.70394     0.0979331      0.594266       1.16866      0.571693 
      R1D27B        17.225       11.0784       6.11924      0.291451       1.62372     0.0979331      0.594266       1.17059      0.575082 
       R1HC3        17.225       11.0784       6.11924      0.291451       1.62372     0.0979331      0.594266       1.17059      0.575082 
       R1VC3        17.225       11.0784       6.11924      0.291451       1.62372     0.0979331      0.594266       1.17059      0.575082 
      R1D28A        17.355       11.0043       5.70711       0.27872       1.54646     0.0979331      0.594266       1.17247      0.578584 
      R1SCN1        17.355       11.0043       5.70711       0.27872       1.54646     0.0979331      0.594266       1.17247      0.578584 
      RXD28B        17.515       10.9176       5.22746       0.26305       1.45138     0.0979331      0.594266       1.17479      0.583247 
      R1BPM9        17.515       10.9176       5.22746       0.26305       1.45138     0.0979331      0.594266       1.17479      0.583247 
     R1D29AA          17.9       10.7296       4.19798      0.225346       1.22259     0.0979331      0.594266       1.18045      0.596342 
    EPU4USVC          17.9       10.7296       4.19798      0.225346       1.22259     0.0979331      0.594266       1.18045      0.596342 
     R1D29AB        17.997       10.6868       3.96639      0.215847       1.16494     0.0979331      0.594266       1.18189      0.600125 
    EPU4USHC        17.997       10.6868       3.96639      0.215847       1.16494     0.0979331      0.594266       1.18189      0.600125 
     EPU56UD        18.138       10.6279       3.64969      0.202038       1.08115     0.0979331      0.594266         1.184      0.606025 
       EPU56        21.862       10.4812        3.8251     -0.162665      -1.12805     0.0979331      0.594102       1.24139      0.872725 
     EPU56DD        22.003       10.5291       4.15502     -0.176473      -1.21182     0.0979331      0.594102       1.24353      0.878355 
    EPU4DSHC        22.003       10.5291       4.15502     -0.176473      -1.21182     0.0979331      0.594102       1.24353      0.878355 
      R2D1AA          22.1       10.5642        4.3957     -0.185973      -1.26945     0.0979331      0.594102       1.24499      0.881968 
    EPU4DSVC          22.1       10.5642        4.3957     -0.185973      -1.26945     0.0979331      0.594102       1.24499      0.881968 
      R2D1AB         22.19       10.5985       4.62901     -0.194787      -1.32292     0.0979331      0.594102       1.24635      0.885143 
      R2BPM0         22.19       10.5985       4.62901     -0.194787      -1.32292     0.0979331      0.594102       1.24635      0.885143 
      R2D1BA        22.302       10.6433        4.9328     -0.205755      -1.38945     0.0979331      0.594102       1.24802      0.888874 
       R2SQ0        22.302       10.6433        4.9328     -0.205755      -1.38945     0.0979331      0.594102       1.24802      0.888874 
      R2D1BB        22.775       10.8599       6.38014     -0.252078      -1.67046     0.0979331      0.594102       1.25503      0.902309 
       R2HC0        22.775       10.8599       6.38014     -0.252078      -1.67046     0.0979331      0.594102       1.25503      0.902309 
       R2VC1        22.775       10.8599       6.38014     -0.252078      -1.67046     0.0979331      0.594102       1.25503      0.902309 
        RXD2         22.91       10.9297       6.84199     -0.265299      -1.75067     0.0979331      0.594102         1.257      0.905561 
      R2BPM1         22.91       10.9297       6.84199     -0.265299      -1.75067     0.0979331      0.594102         1.257      0.905561 
        RXD3            23       10.9783       7.16193     -0.274113      -1.80414     0.0979331      0.594102       1.25831      0.907608 
       R2QD1         23.35        13.445       7.05367      -7.21721       2.09346       3.94854      0.763089       1.26304        0.9152 
        RXD4          23.5        15.699        6.4428      -7.80949         1.979       3.94854      0.763089       1.26469      0.918742 
       R2HC1          23.5        15.699        6.4428      -7.80949         1.979       3.94854      0.763089       1.26469      0.918742 
        RXD5         23.65       18.1307       5.86627      -8.40177       1.86453       3.94854      0.763089        1.2661      0.922626 
       R2QF2            24       17.4155        6.6825       10.1967      -4.46706       6.02749       3.13574       1.26905      0.932065 
       R2D6A        24.325       11.4243        9.9173       8.23772      -5.48617       6.02749       3.13574       1.27272      0.938421 
      R2VC1A        24.325       11.4243        9.9173       8.23772      -5.48617       6.02749       3.13574       1.27272      0.938421 
      R2HC1A        24.325       11.4243        9.9173       8.23772      -5.48617       6.02749       3.13574       1.27272      0.938421 
       R2D6B        24.595       7.41536       13.1084        6.6103      -6.33283       6.02749       3.13574       1.27739       0.94219 
       R2QD3        24.835       4.96314       15.3286       3.83525      -2.70971       3.16516      0.544245       1.28376      0.944855 
        RXD7         24.94       4.19263       15.9037       3.50291      -2.76686       3.16516      0.544245       1.28742      0.945925 
      R2BPM2         24.94       4.19263       15.9037       3.50291      -2.76686       3.16516      0.544245       1.28742      0.945925 
        RXD8         25.27        2.2254       17.7891        2.4584      -2.94646       3.16516      0.544245       1.30465      0.949048 
       RXDMX         26.49      0.825432        13.446      -1.08233        5.6141       2.63068       2.41842       1.59677        0.9605 
        RXD9         26.85       1.94565       9.71728      -2.02938       4.74347       2.63068       2.41842       1.64261      0.965514 
       R2SD1         26.97       2.47058       8.61368      -2.34506       4.45326       2.63068       2.41842       1.65133      0.967601 
       RXD10         27.15       3.40003       7.08886      -2.81858       4.01794       2.63068       2.41842       1.66122      0.971268 
      R2BPM3         27.15       3.40003       7.08886      -2.81858       4.01794       2.63068       2.41842       1.66122      0.971268 
