Element-Name    E_S(Meter)       Beta(X)       Beta(Y)      Alpha(X)      Alpha(Y)      Gamma(X)      Gamma(Y)      Phase(X)      Phase(Y) 
       R3D28        57.499       10.7823       7.36236      0.215506       1.47927     0.0970523      0.433046       3.60771       1.99014 
       R3VC3        57.499       10.7823       7.36236      0.215506       1.47927     0.0970523      0.433046       3.60771       1.99014 
       R3HC3        57.499       10.7823       7.36236      0.215506       1.47927     0.0970523      0.433046       3.60771       1.99014 
       R3D29        58.451       10.4599        4.9383      0.123112       1.06701     0.0970523      0.433046         3.622       2.01538 
    R3RFCAV1        58.751       10.3948       4.33707     0.0939965      0.937097     0.0970523      0.433046       3.62658        2.0257 
       R3D30        59.451       10.3107       3.23732     0.0260599      0.633965     0.0970523      0.433046       3.63735       2.05561 
    R3RFCAV2        59.751       10.3038       2.89592   -0.00305578      0.504051     0.0970523      0.433046       3.64198       2.07123 
       R3D31            60       10.3114       2.67175    -0.0272218      0.396222     0.0970523      0.433046       3.64582       2.08549 
       R4D1A        60.719       10.4007       2.32585    -0.0970024     0.0848619     0.0970523      0.433046       3.65688       2.13206 
      R4BPM0        60.719       10.4007       2.32585    -0.0970024     0.0848619     0.0970523      0.433046       3.65688       2.13206 
       R4D1B       60.8315       10.4237       2.31224     -0.107921     0.0361442     0.0970523      0.433046        3.6586       2.13978 
       R4VC0       60.8315       10.4237       2.31224     -0.107921     0.0361442     0.0970523      0.433046        3.6586       2.13978 
       R4HC0       60.8315       10.4237       2.31224     -0.107921     0.0361442     0.0970523      0.433046        3.6586       2.13978 
       R4D2A        61.095       10.4873       2.32326     -0.133494    -0.0779635     0.0970523      0.433046       3.66261       2.15792 
      R4SCRP        61.095       10.4873       2.32326     -0.133494    -0.0779635     0.0970523      0.433046       3.66261       2.15792 
       R4D2B        61.352       10.5624       2.39193     -0.158437     -0.189256     0.0970523      0.433046        3.6665        2.1753 
      SW6HC1        61.352       10.5624       2.39193     -0.158437     -0.189256     0.0970523      0.433046        3.6665        2.1753 
       SW6UD        61.512       10.6156       2.46358     -0.173965     -0.258544     0.0970523      0.433046       3.66891        2.1858 
         SW6        62.472        11.039       3.35908     -0.267135     -0.674268     0.0970523      0.433046       3.68304       2.23995 
       SW6DD        62.632        11.127       3.58593     -0.282664     -0.743556     0.0970523      0.433046       3.68534       2.24729 
      SW6HC2        62.632        11.127       3.58593     -0.282664     -0.743556     0.0970523      0.433046       3.68534       2.24729 
        R4D3        62.807       11.2289       3.85944     -0.299648     -0.819339     0.0970523      0.433046       3.68783       2.25478 
      R4HC0A        62.807       11.2289       3.85944     -0.299648     -0.819339     0.0970523      0.433046       3.68783       2.25478 
       R4VC1        62.807       11.2289       3.85944     -0.299648     -0.819339     0.0970523      0.433046       3.68783       2.25478 
        R4D4        62.922       11.2991       4.05361     -0.310809     -0.869139     0.0970523      0.433046       3.68945       2.25941 
      R4BPM1        62.922       11.2991       4.05361     -0.310809     -0.869139     0.0970523      0.433046       3.68945       2.25941 
        R4D5            63       11.3482       4.19183     -0.318379     -0.902917     0.0970523      0.433046       3.69055       2.26242 
       R4QD1         63.35       13.9252        4.0443      -7.50801       1.29724       4.11989      0.663359       3.69512       2.27554 
        RXD4          63.5       16.2703       3.67005      -8.12599       1.19773       4.11989      0.663359       3.69671       2.28174 
       R4HC1          63.5       16.2703       3.67005      -8.12599       1.19773       4.11989      0.663359       3.69671       2.28174 
        RXD5         63.65       18.8008       3.32566      -8.74398       1.09823       4.11989      0.663359       3.69808       2.28857 
       R4QF2            64       18.0792       3.78398       10.5549      -2.55958       6.21744       1.99564       3.70092       2.30525 
       R4D6A        64.325       11.8752       5.65849       8.53425      -3.20816       6.21744       1.99564       3.70445       2.31644 
       R4SQ1        64.325       11.8752       5.65849       8.53425      -3.20816       6.21744       1.99564       3.70445       2.31644 
       R4D6B        64.595       7.71997       7.53638       6.85554      -3.74698       6.21744       1.99564       3.70894       2.32302 
       R4QD3        64.835       5.17682       8.87235       3.97735      -1.69424       3.24896      0.436237       3.71505       2.32764 
        RXD7         64.94        4.3774       9.23295       3.63621      -1.74004       3.24896      0.436237       3.71856       2.32949 
      R4BPM2         64.94        4.3774       9.23295       3.63621      -1.74004       3.24896      0.436237       3.71856       2.32949 
        RXD8         65.27       2.33131       10.4289       2.56405        -1.884       3.24896      0.436237       3.73503       2.33484 
       RXDMX         66.49      0.788547       8.26553      -1.04762       3.21281       2.65996        1.3698       4.02738       2.35395 
        RXD9         66.85       1.88756       6.12984       -2.0052       2.71968       2.65996        1.3698       4.07505         2.362 
       R4SD1         66.97       2.40712       5.49684       -2.3244        2.5553       2.65996        1.3698       4.08402       2.36529 
       RXD10         67.15       3.33008       4.62131      -2.80319       2.30874       2.65996        1.3698       4.09414       2.37098 
      R4BPM3         67.15       3.33008       4.62131      -2.80319       2.30874       2.65996        1.3698       4.09414       2.37098 
       RXD11         67.51       5.69311       3.13654      -3.76078       1.81561       2.65996        1.3698       4.10732       2.38605 
       R4QF4         67.86       6.33194       2.93832       2.14735      -1.18647      0.886161      0.819413       4.11608        2.4055 
       RXD12            68       5.74805        3.2866       2.02329      -1.30118      0.886161      0.819413       4.11977       2.41268 
       R4SF1         68.12       5.27522       3.61068       1.91695      -1.39951      0.886161      0.819413       4.12324       2.41822 
       RXD13         68.88        2.8733       6.21123       1.24347      -2.02227      0.886161      0.819413       4.15451       2.44388 
      R4BPM4         68.88        2.8733       6.21123       1.24347      -2.02227      0.886161      0.819413       4.15451       2.44388 
       RXD14        69.015       2.55372       6.77218       1.12383      -2.13289      0.886161      0.819413       4.16245       2.44719 
       R4VC2        69.015       2.55372       6.77218       1.12383      -2.13289      0.886161      0.819413       4.16245       2.44719 
       RXD15         69.39       1.83546       8.48707      0.791525      -2.44017      0.886161      0.819413       4.19015       2.45506 
      RXDM2U       69.5974        1.6008       9.20506      0.437128      -1.43162      0.744054      0.331288        4.2095       2.45879 
      R4DM2D         70.61        1.8883       8.67822     -0.843468       2.32276      0.906336      0.736925       4.31416       2.47574 
       RXD16        71.255       3.35344       5.98844      -1.42806       1.84744      0.906336      0.736925       4.35541          2.49 
      R4BPM5        71.255       3.35344       5.98844      -1.42806       1.84744      0.906336      0.736925       4.35541          2.49 
       RXD17         71.88       5.49254       3.96701      -1.99452       1.38686      0.906336      0.736925       4.37867       2.51047 
       R4SF2            72       5.98428       3.64477      -2.10328       1.29843      0.906336      0.736925         4.382       2.51549 
       RXD18         72.14       6.59096       3.29565      -2.23016       1.19526      0.906336      0.736925       4.38555       2.52192 
       R4QF5         72.49       5.92147       3.61088       3.92103      -2.19579       2.76528        1.6122       4.39398       2.53903 
       RXD19         72.93       3.00632        5.8553       2.70431      -2.90516       2.76528        1.6122        4.4106       2.55429 
      R4BPM6         72.93       3.00632        5.8553       2.70431      -2.90516       2.76528        1.6122        4.4106       2.55429 
       RXD20         73.03       2.49311       6.45245       2.42778      -3.06638       2.76528        1.6122       4.41642       2.55688 
       R4SD2         73.15       1.95026        7.2116       2.09595      -3.25984       2.76528        1.6122       4.42508       2.55967 
       RXD21         73.51      0.799555       9.76762       1.10045      -3.84023       2.76528        1.6122       4.47163        2.5665 
       RXDMX         74.73       2.35201       12.3822       -2.6264       2.23426       3.35798      0.483915       4.77013       2.58262 
       RXD22        75.165       5.27239         10.53      -4.08712       2.02376       3.35798      0.483915       4.78984       2.58869 
       R4QD6        75.405       7.88362       8.93654      -7.03575       4.46607       6.40591       2.34383       4.79583       2.59258 
      R4D23A         75.52       9.58656       7.94034      -7.77243       4.19653       6.40591       2.34383       4.79794       2.59475 
      R4VC3A         75.52       9.58656       7.94034      -7.77243       4.19653       6.40591       2.34383       4.79794       2.59475 
      R4HC2A         75.52       9.58656       7.94034      -7.77243       4.19653       6.40591       2.34383       4.79794       2.59475 
      R4D23B         75.64       11.5442       6.96693      -8.54114       3.91527       6.40591       2.34383       4.79975       2.59732 
      R4BPM7         75.64       11.5442       6.96693      -8.54114       3.91527       6.40591       2.34383       4.79975       2.59732 
       RXD24            76        18.524        4.4517      -10.8473       3.07149       6.40591       2.34383       4.80367       2.60762 
       R4QF7         76.35        19.285       3.85903        8.9374      -1.18179       4.19378      0.621043       4.80645       2.62189 
       RXD25         76.49       16.8647       4.20211       8.35027      -1.26874       4.19378      0.621043       4.80768       2.62742 
       R4HC2         76.49       16.8647       4.20211       8.35027      -1.26874       4.19378      0.621043       4.80768       2.62742 
       RXD26         76.65          14.3         4.624       7.67926       -1.3681       4.19378      0.621043       4.80932        2.6332 
       R4QD8            77       11.6732       4.70623      0.298206       1.14833      0.093284      0.492679       4.81377       2.64478 
       RXD27         77.22       11.5465       4.22481      0.277684       1.03994      0.093284      0.492679       4.81679       2.65263 
      R4BPM8         77.22       11.5465       4.22481      0.277684       1.03994      0.093284      0.492679       4.81679       2.65263 
      RXD28A        77.355       11.4733       3.95301       0.26509      0.973429      0.093284      0.492679       4.81866       2.65789 
      R4SCN1        77.355       11.4733       3.95301       0.26509      0.973429      0.093284      0.492679       4.81866       2.65789 
      RXD28B        77.515       11.3908       3.65412      0.250165        0.8946      0.093284      0.492679       4.82088       2.66459 
       R4VC3        77.515       11.3908       3.65412      0.250165        0.8946      0.093284      0.492679       4.82088       2.66459 
       R4D29        78.145       11.1126       2.72247      0.191396      0.584212      0.093284      0.492679        4.8298        2.6966 
       R4HC3        78.145       11.1126       2.72247      0.191396      0.584212      0.093284      0.492679        4.8298        2.6966 
       R4VC4        78.145       11.1126       2.72247      0.191396      0.584212      0.093284      0.492679        4.8298        2.6966 
       R4D30        78.295       11.0573       2.55829      0.177403       0.51031      0.093284      0.492679       4.83196       2.70565 
      R4BPM9        78.295       11.0573       2.55829      0.177403       0.51031      0.093284      0.492679       4.83196       2.70565 
       R4D31        78.505       10.9869       2.36569      0.157814      0.406848      0.093284      0.492679       4.83499       2.71925 
       RXWD1       78.5995       10.9579       2.29319      0.148998       0.36029      0.093284      0.492679       4.83636       2.72571 
     R4ENDHC       78.5995       10.9579       2.29319      0.148998       0.36029      0.093284      0.492679       4.83636       2.72571 
       RXWD2         78.65       10.9431       2.25806      0.144288      0.335409      0.093284      0.492679       4.83709       2.72924 
      R45WIG         81.35        10.844       3.30259     -0.107579     -0.678315      0.093284      0.442111       4.87696       2.91788 
       RXWD2       81.4005       10.8551       3.37223      -0.11229     -0.700641      0.093284      0.442111        4.8777       2.92028 
     R5ENDHC       81.4005       10.8551       3.37223      -0.11229     -0.700641      0.093284      0.442111        4.8777       2.92028 
       RXWD1        81.495       10.8772        3.5086     -0.121105     -0.742421      0.093284      0.442111       4.87908       2.92466 
       R5D1A        81.705       10.9322       3.83991     -0.140695     -0.835264      0.093284      0.442111       4.88215       2.93377 
      R5BPM0        81.705       10.9322       3.83991     -0.140695     -0.835264      0.093284      0.442111       4.88215       2.93377 
       R5D1B        81.855       10.9765       4.10044     -0.154687     -0.901581      0.093284      0.442111       4.88432       2.93979 
       R5HC0        81.855       10.9765       4.10044     -0.154687     -0.901581      0.093284      0.442111       4.88432       2.93979 
       R5VC0        81.855       10.9765       4.10044     -0.154687     -0.901581      0.093284      0.442111       4.88432       2.93979 
       R5D1C        82.775         11.34       6.13355     -0.240508      -1.30832      0.093284      0.442111       4.89746       2.96915 
       R5VC1        82.775         11.34       6.13355     -0.240508      -1.30832      0.093284      0.442111       4.89746       2.96915 
        RXD2         82.91       11.4067       6.49485     -0.253102      -1.36801      0.093284      0.442111       4.89935       2.97255 
      R5BPM1         82.91       11.4067       6.49485     -0.253102      -1.36801      0.093284      0.442111       4.89935       2.97255 
        RXD3            83        11.453       6.74467     -0.261497       -1.4078      0.093284      0.442111       4.90061       2.97472 
       R5QD1         83.35       14.0058       6.45039      -7.49132       2.19431        4.0783      0.901494       4.90515        2.9829 
        RXD4          83.5       16.3449       5.81238      -8.10307       2.05909        4.0783      0.901494       4.90672        2.9868 
       R5HC1          83.5       16.3449       5.81238      -8.10307       2.05909        4.0783      0.901494       4.90672        2.9868 
        RXD5         83.65       18.8676       5.21494      -8.71481       1.92386        4.0783      0.901494       4.90808       2.99114 
       R5QF2            84       18.1045       5.73732         10.63      -3.58944       6.29657       2.41996       4.91092       3.00194 
       R5D6A        84.322       11.9117       8.29983       8.60248      -4.36867       6.29657       2.41996       4.91441       3.00937 
      R5VC1A        84.322       11.9117       8.29983       8.60248      -4.36867       6.29657       2.41996       4.91441       3.00937 
      R5HC1A        84.322       11.9117       8.29983       8.60248      -4.36867       6.29657       2.41996       4.91441       3.00937 
       R5D6B        84.595       7.68399       10.8655       6.88352      -5.02932       6.29657       2.41996       4.91895       3.01395 
       R5QD3        84.835       5.12898       12.5948       3.99985      -2.01395       3.31427      0.401434       4.92511       3.01718 
        RXD7         84.94       4.32555       13.0221       3.65185       -2.0561       3.31427      0.401434       4.92866       3.01848 
      R5BPM2         84.94       4.32555       13.0221       3.65185       -2.0561       3.31427      0.401434       4.92866       3.01848 
        RXD8         85.27       2.27625       14.4229       2.55815      -2.18857       3.31427      0.401434       4.94543       3.02232 
       RXDMX         86.49      0.829127       10.5481      -1.13572       4.56857       2.76178       2.07352       5.24482       3.03668 
        RXD9         86.85       2.00477        7.5275      -2.12996        3.8221       2.76178       2.07352       5.28986       3.04311 
       R5SD1         86.97       2.55573       6.64005      -2.46138       3.57328       2.76178       2.07352       5.29831       3.04582 
       RXD10         87.15       3.53131       5.42086       -2.9585       3.20004       2.76178       2.07352       5.30785       3.05059 
      R5BPM3         87.15       3.53131       5.42086       -2.9585       3.20004       2.76178       2.07352       5.30785       3.05059 
       RXD11         87.51       6.01935       3.38555      -3.95274       2.45357       2.76178       2.07352       5.32029       3.06398 
       R5QF4         87.86       6.67627       2.82356       2.29363      -0.66982      0.937762      0.513061       5.32859       3.08308 
       RXD12            88       6.05243       3.02116       2.16235     -0.741648      0.937762      0.513061       5.33209       3.09071 
       R5SF1         88.12       5.54697       3.20655       2.04981     -0.803215      0.937762      0.513061       5.33539       3.09685 
      R5D13A        88.519       4.06051       3.92919       1.67565      -1.00793      0.937762      0.513061       5.34879       3.11478 
       R5SQ1        88.519       4.06051       3.92919       1.67565      -1.00793      0.937762      0.513061       5.34879       3.11478 
     R5D13BA         88.63       3.70007       4.15927       1.57156      -1.06488      0.937762      0.513061       5.35335       3.11915 
     R5DCCTD        88.795       3.20699       4.52465       1.41682      -1.14953      0.937762      0.513061       5.36097       3.12521 
      R5DCCT        88.795       3.20699       4.52465       1.41682      -1.14953      0.937762      0.513061       5.36097       3.12521 
     R5DCCTD         88.96       2.76497       4.91797       1.26209      -1.23419      0.937762      0.513061       5.36979       3.13077 
     R5D13BB        88.985       2.70245          4.98       1.23865      -1.24701      0.937762      0.513061       5.37125       3.13158 
       R5VC2        88.985       2.70245          4.98       1.23865      -1.24701      0.937762      0.513061       5.37125       3.13158 
       R5D14         89.06       2.52193       5.16993       1.16832      -1.28549      0.937762      0.513061       5.37582       3.13393 
      R5BPM4         89.06       2.52193       5.16993       1.16832      -1.28549      0.937762      0.513061       5.37582       3.13393 
       R5D15         89.39       1.85296       6.07423      0.858857       -1.4548      0.937762      0.513061       5.40021       3.14331 
      RXDM2U       89.5974       1.59266       6.46651      0.494792     -0.733115      0.781596      0.237757       5.41952       3.14856 
      RXDM2D         90.61       1.77903       5.67735     -0.786191       1.69858      0.909538      0.684331       5.52826       3.17363 
       RXD16        91.255       3.17161       3.77087      -1.37284       1.25719      0.909538      0.684331       5.57202       3.19589 
      R5BPM5        91.255       3.17161       3.77087      -1.37284       1.25719      0.909538      0.684331       5.57202       3.19589 
      RXD17A        91.445       3.72612       3.31785      -1.54565       1.12717      0.909538      0.684331       5.58082       3.20444 
       R5SQ2        91.445       3.72612       3.31785      -1.54565       1.12717      0.909538      0.684331       5.58082       3.20444 
      RXD17B         91.88       5.24295        2.4667       -1.9413      0.829483      0.909538      0.684331       5.59651       3.22873 
       R5SF2            92       5.72196       2.27748      -2.05045      0.747363      0.909538      0.684331           5.6        3.2368 
       RXD18         92.14       6.31391       2.08163      -2.17778      0.651557      0.909538      0.684331       5.60371       3.24704 
       R5QF5         92.49        5.6999       2.40069       3.72855      -1.66422       2.61445       1.57023       5.61248       3.27351 
       RXD19         92.93       2.92493       4.16919       2.57819      -2.35512       2.61445       1.57023       5.62966       3.29572 
      R5BPM6         92.93       2.92493       4.16919       2.57819      -2.35512       2.61445       1.57023       5.62966       3.29572 
       RXD20         93.03       2.43544       4.65592       2.31675      -2.51214       2.61445       1.57023       5.63563       3.29933 
       R5SD2         93.15       1.91707       5.28144       2.00301      -2.70057       2.61445       1.57023       5.64447       3.30318 
       RXD21         93.51      0.813728       7.42935       1.06181      -3.26585       2.61445       1.57023       5.69101       3.31234 
       RXDMX         94.73       2.24731       10.3672      -2.47092       1.46132       3.16176      0.302441       5.98178       3.33255 
       RXD22        95.165       4.99529       9.15307      -3.84629       1.32976       3.16176      0.302441       6.00251       3.33966 
       R5QD6        95.405       7.45506       7.95832      -6.63142       3.53628       6.03291         1.697       6.00884       3.34409 
      R5D23A         95.55       9.50502       6.96848      -7.50619       3.29021       6.03291         1.697       6.01158       3.34719 
      R5HC2A         95.55       9.50502       6.96848      -7.50619       3.29021       6.03291         1.697       6.01158       3.34719 
      R5VC3A         95.55       9.50502       6.96848      -7.50619       3.29021       6.03291         1.697       6.01158       3.34719 
      R5D23B         95.64        10.905       6.38999      -8.04915       3.13748       6.03291         1.697       6.01299       3.34934 
      R5BPM7         95.64        10.905       6.38999      -8.04915       3.13748       6.03291         1.697       6.01299       3.34934 
       RXD24            96       17.4822       4.35093       -10.221       2.52656       6.03291         1.697       6.01714       3.36021 
       R5QF7         96.35       18.1902       4.10749       8.44423      -1.75036       3.97494      0.989355       6.02008        3.3742 
       RXD25         96.49       15.9037       4.61699       7.88774      -1.88887       3.97494      0.989355       6.02139       3.37932 
       R5HC2         96.49       15.9037       4.61699       7.88774      -1.88887       3.97494      0.989355       6.02139       3.37932 
       RXD26         96.65       13.4814       5.24675       7.25175      -2.04717       3.97494      0.989355       6.02313       3.38449 
       R5QD8            97       10.9982       5.67663      0.289717      0.898246     0.0985556      0.318295       6.02785       3.39439 
       R5D27         97.09       10.9469       5.51753      0.280847        0.8696     0.0985556      0.318295       6.02916       3.39694 
      R5BPM8         97.09       10.9469       5.51753      0.280847        0.8696     0.0985556      0.318295       6.02916       3.39694 
      R5D28A        97.225       10.8728       5.28854      0.267542       0.82663     0.0985556      0.318295       6.03113       3.40092 
       R5VC3        97.225       10.8728       5.28854      0.267542       0.82663     0.0985556      0.318295       6.03113       3.40092 
       R5HC3        97.225       10.8728       5.28854      0.267542       0.82663     0.0985556      0.318295       6.03113       3.40092 
      R5D28B       97.3875       10.7885       5.02829      0.251527      0.774907     0.0985556      0.318295       6.03351       3.40594 
      R5SCN1       97.3875       10.7885       5.02829      0.251527      0.774907     0.0985556      0.318295       6.03351       3.40594 
      R5D28C        97.515       10.7259       4.83586      0.238961      0.734324     0.0985556      0.318295        6.0354       3.41005 
      R5BPM9        97.515       10.7259       4.83586      0.238961      0.734324     0.0985556      0.318295        6.0354       3.41005 
       U9UDA        97.568       10.7009       4.75892      0.233738      0.717455     0.0985556      0.318295       6.03619       3.41181 
       R5VC4        97.568       10.7009       4.75892      0.233738      0.717455     0.0985556      0.318295       6.03619       3.41181 
       U9UDB         97.75       10.6191       4.50831      0.215801      0.659525     0.0985556      0.318295        6.0389       3.41807 
          U9        102.25       10.6726       4.51218       -0.2277     -0.660329     0.0985556      0.318257       6.10836       3.62523 
       U9DDA       102.445       10.7652       4.78181     -0.246918     -0.722389     0.0985556      0.318257       6.11126       3.63191 
       R6VC0       102.445       10.7652       4.78181     -0.246918     -0.722389     0.0985556      0.318257       6.11126       3.63191 
       U9DDB        102.52       10.8028       4.89196      -0.25431     -0.746259     0.0985556      0.318257       6.11237       3.63438 
      R6BPM0        102.52       10.8028       4.89196      -0.25431     -0.746259     0.0985556      0.318257       6.11237       3.63438 
        R6D1       102.775       10.9389       5.29325     -0.279441     -0.827414     0.0985556      0.318257        6.1161       3.64236 
       R6VC1       102.775       10.9389       5.29325     -0.279441     -0.827414     0.0985556      0.318257        6.1161       3.64236 
       R6HC0       102.775       10.9389       5.29325     -0.279441     -0.827414     0.0985556      0.318257        6.1161       3.64236 
        RXD2        102.91       11.0161       5.52245     -0.292746     -0.870379     0.0985556      0.318257       6.11806       3.64633 
      R6BPM1        102.91       11.0161       5.52245     -0.292746     -0.870379     0.0985556      0.318257       6.11806       3.64633 
        RXD3           103       11.0696        5.6817     -0.301616     -0.899022     0.0985556      0.318257       6.11935       3.64889 
       R6QD1        103.35       13.5768       5.25138      -7.31267       2.04911       4.01237      0.989997       6.12404       3.65877 
        RXD4         103.5       15.8609       4.65892      -7.91452       1.90061       4.01237      0.989997       6.12567        3.6636 
       R6HC1         103.5       15.8609       4.65892      -7.91452       1.90061       4.01237      0.989997       6.12567        3.6636 
        RXD5        103.65       18.3255       4.11101      -8.51638       1.75211       4.01237      0.989997       6.12707       3.66906 
       R6QF2           104       17.6182       4.35441       10.2914      -2.52819       6.06835       1.69753       6.12999       3.68304 
       R6D6A       104.325       11.5698       6.17704       8.31922      -3.07989       6.06835       1.69753       6.13361       3.69302 
      R6VC1A       104.325       11.5698       6.17704       8.31922      -3.07989       6.06835       1.69753       6.13361       3.69302 
      R6HC1A       104.325       11.5698       6.17704       8.31922      -3.07989       6.06835       1.69753       6.13361       3.69302 
       R6D6B       104.595       7.51977       7.96393       6.68076      -3.53822       6.06835       1.69753       6.13822       3.69914 
       R6QD3       104.835       5.04178       9.15923       3.87457      -1.33007       3.17593      0.302328        6.1445       3.70357 
        RXD7        104.94       4.26313       9.44188        3.5411      -1.36182       3.17593      0.302328        6.1481       3.70536 
      R6BPM2        104.94       4.26313       9.44188        3.5411      -1.36182       3.17593      0.302328        6.1481       3.70536 
        RXD8        105.27       2.27186       10.3736       2.49305      -1.46158       3.17593      0.302328       6.16501       3.71067 
       RXDMX        106.49      0.804142        7.4326      -1.05038       3.26805       2.61558       1.57148       6.45549       3.73088 
        RXD9        106.85        1.8994       5.28326      -1.99199       2.70232       2.61558       1.57148       6.50253       3.74003 
       R6SD1        106.97       2.41514       4.65734      -2.30586       2.51374       2.61558       1.57148       6.51145       3.74388 
       RXD10        107.15       3.32999        3.8033      -2.77666       2.23088       2.61558       1.57148       6.52156       3.75069 
      R6BPM3        107.15       3.32999        3.8033      -2.77666       2.23088       2.61558       1.57148       6.52156       3.75069 
       RXD11        107.51       5.66817       2.40074      -3.71827       1.66514       2.61558       1.57148       6.53477        3.7697 
       R6QF4        107.86       6.28626       2.08107       2.15721     -0.650531      0.899351      0.683874       6.54358       3.79618 
       RXD12           108       5.69987       2.27662        2.0313     -0.746273      0.899351      0.683874        6.5473       3.80642 
       R6SF1        108.12       5.22531       2.46558       1.92338     -0.828338      0.899351      0.683874        6.5508       3.81448 
      RXD13A       108.555       3.72215       3.31564       1.53216      -1.12582      0.899351      0.683874       6.56653       3.83879 
       R6SQ1       108.555       3.72215       3.31564       1.53216      -1.12582      0.899351      0.683874       6.56653       3.83879 
      RXD13B        108.88       2.82124       4.11966       1.23987      -1.34808      0.899351      0.683874       6.58252       3.85281 
      R6BPM4        108.88       2.82124       4.11966       1.23987      -1.34808      0.899351      0.683874       6.58252       3.85281 
       RXD14       109.015       2.50286        4.4961       1.11846      -1.44041      0.899351      0.683874       6.59061        3.8578 
       R6VC2       109.015       2.50286        4.4961       1.11846      -1.44041      0.899351      0.683874       6.59061        3.8578 
       RXD15        109.39       1.79049       5.67258      0.781203      -1.69686      0.899351      0.683874       6.61895       3.86963 
      RXDM2U       109.597       1.55925       6.18506      0.428606      -1.04728      0.759148       0.33901        6.6388       3.87519 
      RXDM2D        110.61       1.87125       6.06882     -0.860585       1.45347      0.930185       0.51288       6.74566       3.89997 
       RXD16       111.255       3.36838       4.40722      -1.46055       1.12266      0.930185       0.51288       6.78701       3.91987 
      R6BPM5       111.255       3.36838       4.40722      -1.46055       1.12266      0.930185       0.51288       6.78701       3.91987 
      RXD17A       111.445       3.95697       3.99912      -1.63729       1.02522      0.930185       0.51288        6.7953       3.92708 
       R6SQ2       111.445       3.95697       3.99912      -1.63729       1.02522      0.930185       0.51288        6.7953       3.92708 
      RXD17B        111.88       5.55743       3.20423      -2.04192      0.802113      0.930185       0.51288       6.81008       3.94647 
       R6SF2           112       6.06089       3.01911      -2.15354      0.740567      0.930185       0.51288       6.81338       3.95261 
       RXD18        112.14       6.68211        2.8218      -2.28377      0.668764      0.930185       0.51288       6.81688       3.96025 
       R6QF5        112.49       6.01716       3.38402       3.96318      -2.45323       2.77653       2.07397       6.82518       3.97936 
       RXD19        112.93       3.06709       5.94439       2.74151      -3.36578       2.77653       2.07397       6.84151         3.995 
      R6BPM6        112.93       3.06709       5.94439       2.74151      -3.36578       2.77653       2.07397       6.84151         3.995 
       RXD20        113.03       2.54655       6.63829       2.46386      -3.57318       2.77653       2.07397        6.8472       3.99753 
       R6SD2        113.15       1.99521       7.52571       2.13067      -3.82205       2.77653       2.07397       6.85568       4.00023 
       RXD21        113.51      0.820965       10.5464       1.13112      -4.56868       2.77653       2.07397       6.90106       4.00667 
       RXDMX        114.73       2.30348       14.4228      -2.58833       2.18766       3.34253      0.401161       7.20095       4.02103 
       RXD22       115.165       5.18782       12.5954      -4.04233       2.01316       3.34253      0.401161       7.22103       4.02617 
       R6QD6       115.405       7.76986       10.8664      -6.95616       5.02886       6.35639       2.41933       7.22712        4.0294 
       RXD23        115.64       11.3903       8.63646      -8.44992       4.46032       6.35639       2.41933       7.23109       4.03326 
      R6BPM7        115.64       11.3903       8.63646      -8.44992       4.46032       6.35639       2.41933       7.23109       4.03326 
       RXD24           116        18.298       5.73857      -10.7382       3.58936       6.35639       2.41933       7.23506        4.0414 
       R6QF7        116.35       19.0655       5.21668       8.81197      -1.92533       4.12529      0.902278       7.23787       4.05221 
       RXD25        116.49        16.679       5.77346       8.23443      -2.05165       4.12529      0.902278       7.23912       4.05627 
       R6HC2        116.49        16.679       5.77346       8.23443      -2.05165       4.12529      0.902278       7.23912       4.05627 
       RXD26        116.65       14.1496       6.45309       7.57438      -2.19601       4.12529      0.902278       7.24078       4.06044 
       R6QD8           117       11.5664       6.74802      0.270788       1.40776     0.0927967      0.441874       7.24527       4.06862 
       R6D27       117.415       11.3576       5.65569      0.232277       1.22438     0.0927967      0.441874       7.25104       4.07932 
     R6KICM1       117.415       11.3576       5.65569      0.232277       1.22438     0.0927967      0.441874       7.25104       4.07932 
       R6D28        117.86       11.1693       4.65349      0.190983       1.02774     0.0927967      0.441874       7.25733       4.09314 
       R6VC3        117.86       11.1693       4.65349      0.190983       1.02774     0.0927967      0.441874       7.25733       4.09314 
       R6D29        118.01       11.1141       4.35511      0.177063      0.961463     0.0927967      0.441874       7.25947       4.09845 
      R6SCN1        118.01       11.1141       4.35511      0.177063      0.961463     0.0927967      0.441874       7.25947       4.09845 
       R6D30         118.9       10.8724       2.99372     0.0944739      0.568195     0.0927967      0.441874       7.27237       4.13808 
     R6KICM2         118.9       10.8724       2.99372     0.0944739      0.568195     0.0927967      0.441874       7.27237       4.13808 
      R6D31A       119.585       10.7865       2.42263     0.0309081      0.265511     0.0927967      0.441874       7.28244       4.17902 
       R6VC5       119.585       10.7865       2.42263     0.0309081      0.265511     0.0927967      0.441874       7.28244       4.17902 
       R6HC4       119.585       10.7865       2.42263     0.0309081      0.265511     0.0927967      0.441874       7.28244       4.17902 
      R6D31B           120       10.7769       2.27836    -0.0076025     0.0821334     0.0927967      0.441874       7.28857       4.20728 
