1.6	743.87	422.68	77.74	80.58	234.19	180
1.597	742.39	421.86	77.59	80.42	233.72	179.64
1.594	740.91	421.03	77.43	80.26	233.25	179.28
1.591	739.43	420.2	77.28	80.1	232.78	178.92
1.588	737.95	419.38	77.13	79.94	232.31	178.56
1.585	736.48	418.55	76.97	79.78	231.84	178.2
1.582	735	417.73	76.82	79.62	231.37	177.84
1.579	733.53	416.9	76.67	79.46	230.9	177.48
1.576	732.05	416.08	76.51	79.3	230.43	177.12
1.573	730.58	415.25	76.36	79.14	229.96	176.76
1.57	729.11	414.43	76.21	78.98	229.49	176.4
1.567	727.64	413.6	76.06	78.82	229.02	176.04
1.564	726.17	412.78	75.9	78.66	228.55	175.68
1.561	724.7	411.96	75.75	78.51	228.08	175.32
1.558	723.23	411.13	75.6	78.35	227.61	174.96
1.555	721.77	410.31	75.45	78.19	227.15	174.6
1.552	720.3	409.49	75.29	78.03	226.68	174.25
1.549	718.84	408.67	75.14	77.87	226.21	173.89
1.546	717.38	407.85	74.99	77.71	225.74	173.53
1.543	715.92	407.02	74.84	77.55	225.28	173.17
1.54	714.45	406.2	74.68	77.4	224.81	172.81
1.537	712.99	405.38	74.53	77.24	224.34	172.46
1.534	711.54	404.56	74.38	77.08	223.87	172.1
1.531	710.08	403.74	74.23	76.92	223.41	171.74
1.528	708.62	402.92	74.07	76.76	222.94	171.38
1.525	707.16	402.1	73.92	76.6	222.48	171.03
1.522	705.71	401.28	73.77	76.45	222.01	170.67
